,artist,track,timeInS,date.entered,date.peaked,week,chart pos
3360,"Hill, Faith",Let's Make Love,251,2000-08-12,2000-10-21,11,54.0
3361,Kelis,Caught Out There,249,1999-12-04,2000-01-08,11,75.0
3362,Jay-Z,Anything,221,2000-02-26,2000-03-11,11,
3363,3 Doors Down,Loser,264,2000-10-21,2000-12-02,11,61.0
3364,Brooks & Dunn,You'll Always Be Loved By Me,178,2000-06-10,2000-09-09,11,62.0
3365,"Chesney, Kenny",What I Need To Do,245,2000-04-01,2000-06-10,11,56.0
3366,"Stone, Angie",No More Rain (In This Cloud),282,1999-12-25,2000-01-22,11,63.0
3367,Da Brat,That's What I'm Looking For,224,2000-02-26,2000-04-15,11,71.0
3368,SheDaisy,This Woman Needs,200,2000-02-05,2000-03-04,11,
3369,Papa Roach,Last Resort,199,2000-07-29,2000-12-02,11,63.0
3370,"Adams, Yolanda",Open My Heart,330,2000-08-26,2000-10-21,11,66.0
3371,Shyne,Bad Boyz,262,2000-09-09,2000-10-28,11,74.0
3372,R.E.M.,The Great Beyond,250,1999-12-25,2000-01-29,11,60.0
3373,"Diffie, Joe",It's Always Somethin',175,2000-08-12,2000-09-16,11,92.0
3374,"McGraw, Tim",Some Things Never Change,236,2000-05-13,2000-07-01,11,58.0
3375,"Henley, Don",Taking You Home,248,2000-06-24,2000-08-05,11,71.0
3376,Eminem,The Way I Am,280,2000-08-26,2000-09-30,11,
3377,Nas,You Owe Me,231,2000-03-25,2000-04-15,11,75.0
3378,Sister Hazel,Change Your Mind,242,2000-07-15,2000-08-05,11,84.0
3379,Puff Daddy,Best Friend,333,2000-02-12,2000-02-19,11,
3380,"McBride, Martina",There You Are,206,2000-09-09,2000-10-21,11,63.0
3381,Usher,Pop Ya Collar,216,2000-11-04,2000-11-18,11,
3382,Lil' Kim,No Matter What They Say,252,2000-07-15,2000-08-05,11,
3383,LFO,I Don't Wanna Kiss You Goodnight,300,2000-04-15,2000-04-22,11,
3384,SheDaisy,Deck The Halls,226,1999-12-25,2000-01-01,11,
3385,Splender,I Think God Can Explain,235,2000-06-10,2000-06-24,11,95.0
3386,"Simpson, Jessica",Where You Are,231,2000-04-01,2000-04-15,11,
3387,M2M,Mirror Mirror,199,2000-04-01,2000-05-27,11,74.0
3388,Kumbia Kings,U Don't Love Me,230,2000-03-04,2000-03-18,11,
3389,Joe,Treat Her Like A Lady,252,2000-08-05,2000-08-19,11,78.0
3390,"Blige, Mary J.",Deep Inside,326,1999-11-13,2000-01-22,11,63.0
3391,"Price, Kelly",You Should've Told Me,192,2000-09-23,2000-12-02,11,64.0
3392,Changing Faces,That Other Woman,240,2000-09-30,2000-10-28,11,97.0
3393,"Wright, Chely",It Was,231,2000-03-04,2000-04-15,11,
3394,Limp Bizkit,Rollin',244,2000-11-11,2000-12-09,11,80.0
3395,Hot Boys,I Need A Hot Girl,256,2000-02-19,2000-03-11,11,92.0
3396,Jay-Z,Do It Again (Put Ya Hands Up),227,2000-01-15,2000-01-29,11,
3397,"Adkins, Trace",More,185,2000-04-29,2000-06-17,11,92.0
3398,"Dixie Chicks, The",Cold Day In July,312,2000-06-24,2000-08-05,11,
3399,"Price, Kelly",As We Lay,380,2000-07-15,2000-08-05,11,
3400,DMX,What's My Name,230,2000-01-15,2000-02-12,11,100.0
3401,"Martin, Ricky",Private Emotion,242,2000-03-11,2000-03-18,11,
3402,Nine Days,If I Am,258,2000-12-02,2000-12-02,11,
3403,"Blige, Mary J.",Give Me You,300,2000-04-15,2000-05-13,11,
3404,Red Hot Chili Peppers,Californication,321,2000-07-29,2000-10-14,11,74.0
3405,Third Eye Blind,Deep Inside Of You,250,2000-09-02,2000-10-07,11,95.0
3406,"Brooks, Garth",Do What You Gotta Do,176,2000-02-19,2000-03-18,11,
3407,"Offspring, The",Original Prankster,222,2000-11-25,2000-12-09,11,
3408,"Anthony, Marc",My Baby You,239,2000-09-16,2000-10-07,11,73.0
3409,"Houston, Whitney","Same Script, Different Cast",285,2000-06-17,2000-07-15,11,
3410,D'Angelo,Left & Right,275,1999-12-11,2000-01-01,11,
3411,"Kravitz, Lenny",I Belong To You,257,2000-03-25,2000-04-08,11,
3412,"Loveless, Patty",That's The Kind Of Mood I'm In,207,2000-09-16,2000-11-18,11,71.0
3413,Q-Tip,Breathe And Stop,246,2000-01-22,2000-01-22,11,
3414,"Rimes, LeAnn",Can't Fight The Moonlight,213,2000-09-09,2000-09-16,11,77.0
3415,Lil Wayne,Tha Block Is Hot,253,1999-12-04,2000-01-08,11,95.0
3416,2 Pac,Baby Don't Cry (Keep Ya Head Up II),262,2000-02-26,2000-03-11,11,
3417,"Wallflowers, The",Sleepwalker,209,2000-10-28,2000-10-28,11,
3418,Drama,"Left, Right, Left",217,2000-02-12,2000-03-18,11,100.0
3419,Limp Bizkit,N 2 Gether Now,235,1999-12-04,2000-01-08,11,96.0
3420,Lox,"Ryde or Die, Chick",236,2000-03-18,2000-03-25,11,
3421,Ying Yang Twins,Whistle While You Twurk,259,2000-03-18,2000-04-29,11,97.0
3422,"Walker, Clay","Live, Laugh, Love",246,1999-12-04,2000-01-22,11,98.0
3423,Metallica,No Leaf Clover (Live),343,2000-02-12,2000-03-11,11,
3424,Yankee Grey,Another Nine Minutes,190,2000-04-29,2000-05-20,11,
3425,"Bega, Lou",Tricky Tricky ,203,2000-01-29,2000-02-05,11,
3426,Big Punisher,It's So Hard,205,2000-04-22,2000-05-06,11,90.0
3427,"Worley, Darryl",When You Need My Love,215,2000-06-17,2000-09-02,11,80.0
3428,Lil' Kim,How Many Licks?,230,2000-11-25,2000-12-02,11,96.0
3429,"Clark, Terri",A Little Gasoline,187,2000-12-16,2000-12-16,11,
3430,"Brock, Chad",A Country Boy Can Survive,234,2000-01-01,2000-01-08,11,
3431,"Cagle, Chris",My Love Goes On And On,182,2000-10-21,2000-12-02,11,91.0
3432,"Byrd, Tracy",Put Your Hand In Mine,270,2000-01-29,2000-02-12,11,
3433,Metallica,I Disappear,266,2000-05-13,2000-06-17,11,83.0
3434,Jay-Z,Hey Papi,220,2000-08-12,2000-10-07,11,85.0
3435,Fatboy Slim,The Rockafeller Skank,240,1999-11-13,2000-01-22,11,76.0
3436,"Levert, Gerald",Mr. Too Damn Good,246,2000-03-18,2000-04-08,11,
3437,"McKnight, Brian",Stay Or Let It Go,272,2000-02-26,2000-03-25,11,
3438,"Allan, Gary",Smoke Rings In The Dark,258,2000-01-22,2000-02-05,11,
3439,Ginuwine,The Best Man I Can Be,246,2000-01-08,2000-03-04,11,85.0
3440,Before Dark,Monica,244,2000-05-20,2000-06-17,11,
3441,"Estefan, Gloria",No Me Dejes De Querer,205,2000-06-10,2000-06-10,11,
3442,Stone Temple Pilots,Sour Girl,256,2000-07-08,2000-07-29,11,91.0
3443,Montgomery Gentry,Daddy Won't Sell The Farm,258,2000-03-04,2000-03-25,11,
3444,"Cyrus, Billy Ray",You Won't Be Lonely Now,225,2000-09-23,2000-11-11,11,80.0
3445,Clark Family Experience,Meanwhile Back At The Ranch,176,2000-11-18,2000-12-16,11,85.0
3446,"Thomas, Carl",Summer Rain,297,2000-09-23,2000-10-14,11,95.0
3447,"Yearwood, Trisha",Real Live Woman,235,2000-04-01,2000-04-29,11,
3448,Trick Daddy,Shut Up,257,2000-05-20,2000-06-17,11,97.0
3449,"Moore, Chante",Straight Up,220,2000-10-28,2000-12-02,11,
3450,Cam'ron,What Means The World To You,278,2000-10-14,2000-11-18,11,
3451,Juvenile,U Understand,231,2000-02-05,2000-02-12,11,
3452,"Hollister, Dave",Can't Stay,377,2000-03-25,2000-03-25,11,
3453,Tamia,Can't Go For That,218,2000-09-16,2000-09-30,11,
3454,LFO,West Side Story,207,2000-08-05,2000-08-12,11,
3455,"Paisley, Brad",Me Neither,199,2000-05-13,2000-05-20,11,
3456,"Carter, Torrey",Take That,223,2000-06-24,2000-07-08,11,
3457,2Ge+her,The Hardest Part Of Breaking Up (Is Getting Back Your Stuff),195,2000-09-02,2000-09-09,11,
3458,Madison Avenue,Don't Call Me Baby,224,2000-07-08,2000-09-16,11,88.0
3459,Eve,Got It All,228,2000-07-15,2000-07-22,11,
3460,Limp Bizkit,Re-Arranged,248,1999-12-04,2000-02-05,11,89.0
3461,"Spencer, Tracie",Still In My Heart,251,2000-03-04,2000-03-11,11,
3462,Nu Flavor,3 Little Words,234,2000-06-03,2000-06-17,11,
3463,Tamar,If You Don't Wanna Love Me,242,2000-03-25,2000-04-15,11,
3464,"Levert, Gerald",Baby U Are,250,2000-08-19,2000-08-26,11,
3465,"Hart, Beth",L.A. Song,227,1999-11-27,2000-01-15,11,91.0
3466,"Diffie, Joe",The Quittin' Kind,203,2000-01-01,2000-01-22,11,
3467,Funkmaster Flex,Do You,254,2000-11-11,2000-12-02,11,
3468,"Price, Kelly",Love Sets You Free,226,2000-05-13,2000-05-20,11,
3469,En Vogue,Riddle,310,2000-06-17,2000-06-17,11,
3470,"Herndon, Ty",No Mercy,283,2000-03-18,2000-05-06,11,
3471,Anastacia,I'm Outta Love,241,2000-04-01,2000-04-01,11,
3472,Trina,Pull Over,178,2000-09-09,2000-09-16,11,
3473,Lil' Mo,Ta Da,257,2000-08-12,2000-09-16,11,
3474,A*Teens,Dancing Queen,224,2000-07-08,2000-07-29,11,
3475,"Sheist, Shade",Where I Wanna Be,256,2000-11-11,2000-11-18,11,
3476,De La Soul,All Good?,302,2000-12-23,2000-12-23,11,
3477,"Larrieux, Amel",Get Up,242,2000-03-04,2000-03-11,11,
3478,"Braxton, Toni",Spanish Guitar,264,2000-12-02,2000-12-02,11,
3479,Tuesday,I Know,246,2000-12-30,2000-12-30,11,
3480,LL Cool J,Imagine That,240,2000-08-12,2000-08-19,11,
3481,Master P,Souljas,213,2000-11-18,2000-11-18,11,
3482,Ghostface Killah,Cherchez LaGhost,184,2000-08-05,2000-08-05,11,
3483,"Smith, Will",Freakin' It,238,2000-02-12,2000-02-12,11,
3484,Zombie Nation,Kernkraft 400,210,2000-09-02,2000-09-02,11,
3485,"Eastsidaz, The",Got Beef,238,2000-07-01,2000-07-01,11,
3486,Fragma,Toca's Miracle,202,2000-10-28,2000-10-28,11,
3487,Destiny's Child,Independent Women Part I,218,2000-09-23,2000-11-18,12,1.0
3488,Santana,"Maria, Maria",258,2000-02-12,2000-04-08,12,1.0
3489,Savage Garden,I Knew I Loved You,247,1999-10-23,2000-01-29,12,6.0
3490,Madonna,Music,225,2000-08-12,2000-09-16,12,2.0
3491,"Aguilera, Christina",Come On Over Baby (All I Want Is You),218,2000-08-05,2000-10-14,12,1.0
3492,Janet,Doesn't Really Matter,257,2000-06-17,2000-08-26,12,1.0
3493,Destiny's Child,Say My Name,271,1999-12-25,2000-03-18,12,14.0
3494,"Iglesias, Enrique",Be With You,216,2000-04-01,2000-06-24,12,4.0
3495,Sisqo,Incomplete,232,2000-06-24,2000-08-12,12,4.0
3496,Lonestar,Amazed,265,1999-06-05,2000-03-04,12,24.0
3497,N'Sync,It's Gonna Be Me,190,2000-05-06,2000-07-29,12,4.0
3498,"Aguilera, Christina",What A Girl Wants,198,1999-11-27,2000-01-15,12,3.0
3499,Vertical Horizon,Everything You Want,241,2000-01-22,2000-07-15,12,15.0
3500,Creed,With Arms Wide Open,232,2000-05-13,2000-11-11,12,79.0
3501,Aaliyah,Try Again,243,2000-03-18,2000-06-17,12,8.0
3502,matchbox twenty,Bent,252,2000-04-29,2000-07-22,12,6.0
3503,"Carey, Mariah",Thank God I Found You,254,1999-12-11,2000-02-19,12,2.0
3504,"Hill, Faith",Breathe,244,1999-11-06,2000-04-22,12,23.0
3505,Mya,Case Of The Ex (Whatcha Gonna Do),230,2000-08-19,2000-12-02,12,10.0
3506,Dream,He Loves U Not,223,2000-09-30,2000-12-30,12,8.0
3507,"Braxton, Toni",He Wasn't Man Enough,261,2000-03-18,2000-05-06,12,5.0
3508,"Anthony, Marc",You Sang To Me,230,2000-02-26,2000-06-03,12,13.0
3509,98¡,Give Me Just One Night (Una Noche),204,2000-08-19,2000-09-30,12,22.0
3510,Destiny's Child,Jumpin' Jumpin',228,2000-05-13,2000-08-19,12,8.0
3511,3 Doors Down,Kryptonite,233,2000-04-08,2000-11-11,12,51.0
3512,Sisqo,Thong Song,245,2000-01-29,2000-05-20,12,6.0
3513,"Aguilera, Christina",I Turn To You,240,2000-04-15,2000-07-01,12,3.0
3514,"Houston, Whitney",My Love Is Your Love,256,1999-09-04,2000-01-08,12,8.0
3515,Joe,I Wanna Know,297,2000-01-01,2000-07-01,12,25.0
3516,"Jordan, Montell",Get It On.. Tonite,274,1999-10-23,2000-02-12,12,20.0
3517,N'Sync,Bye Bye Bye,195,2000-01-29,2000-04-15,12,4.0
3518,Eminem,The Real Slim Shady,282,2000-05-06,2000-06-24,12,9.0
3519,Pink,Most Girls,246,2000-08-12,2000-11-25,12,5.0
3520,"Mumba, Samantha",Gotta Tell You,199,2000-09-09,2000-12-09,12,5.0
3521,Blaque,Bring It All To Me,226,1999-10-23,2000-01-22,12,9.0
3522,"Elliott, Missy ""Misdemeanor""",Hot Boyz,231,1999-11-27,2000-01-08,12,11.0
3523,"Gray, Macy",I Try,232,2000-02-19,2000-05-20,12,7.0
3524,N'Sync,This I Promise You,263,2000-09-30,2000-12-02,12,7.0
3525,Ruff Endz,No More,236,2000-07-01,2000-09-02,12,8.0
3526,"Backstreet Boys, The",Show Me The Meaning Of Being Lonely,234,2000-01-01,2000-03-18,12,6.0
3527,Nine Days,Absolutely (Story Of A Girl),189,2000-05-06,2000-07-22,12,6.0
3528,"Dion, Celine",That's The Way It Is,243,1999-11-13,2000-03-04,12,8.0
3529,Blink-182,All The Small Things,172,1999-12-04,2000-02-19,12,6.0
3530,Eiffel 65,Blue (Da Ba Dee),209,1999-12-11,2000-01-29,12,19.0
3531,"Badu, Erkyah",Bag Lady,303,2000-08-19,2000-10-07,12,11.0
3532,Pink,There U Go,203,2000-03-04,2000-04-08,12,17.0
3533,Creed,Higher,316,1999-09-11,2000-07-22,12,57.0
3534,Nelly,(Hot S**t) Country Grammar,257,2000-04-29,2000-09-16,12,30.0
3535,Next,Wifey,243,2000-05-27,2000-09-09,12,20.0
3536,Kenny G,Auld Lang Syne (The Millenium Mix),470,1999-12-25,2000-01-08,12,
3537,Sonique,It Feels So Good,228,2000-01-22,2000-04-22,12,13.0
3538,"Spears, Britney",Oops!.. I Did It Again,210,2000-04-22,2000-06-10,12,15.0
3539,"Backstreet Boys, The",Shape Of My Heart,229,2000-10-14,2000-12-02,12,19.0
3540,Everclear,Wonderful,270,2000-07-08,2000-09-30,12,25.0
3541,Ja Rule,Between Me And You,245,2000-09-16,2000-11-18,12,14.0
3542,"Rimes, LeAnn",I Need You,222,2000-05-27,2000-08-12,12,11.0
3543,Smash Mouth,Then The Morning Comes,184,1999-10-30,2000-01-29,12,15.0
3544,Jay-Z,I Just Wanna Love U (Give It 2 Me),230,2000-10-28,2000-12-30,12,12.0
3545,Jagged Edge,Let's Get Married,263,2000-05-06,2000-07-29,12,15.0
3546,Filter,Take A Picture,263,1999-11-27,2000-02-05,12,13.0
3547,"Martin, Ricky",She Bangs,242,2000-10-07,2000-12-02,12,29.0
3548,Mystikal,Shake Ya Ass,286,2000-08-12,2000-10-28,12,13.0
3549,BBMak,Back Here,215,2000-04-29,2000-07-29,12,15.0
3550,"Spears, Britney",From The Bottom Of My Broken Heart,270,2000-01-29,2000-02-26,12,45.0
3551,Third Eye Blind,Never Let You Go,237,2000-01-22,2000-04-01,12,16.0
3552,Red Hot Chili Peppers,Otherside,253,2000-02-12,2000-05-27,12,29.0
3553,Profyle,Liar,237,2000-09-16,2000-10-28,12,43.0
3554,Barenaked Ladies,Pinch Me,226,2000-09-09,2000-11-25,12,15.0
3555,Jagged Edge,He Can't Love U,210,1999-12-11,2000-01-08,12,24.0
3556,504 Boyz,Wobble Wobble,215,2000-04-15,2000-05-06,12,70.0
3557,Sting,Desert Rose,232,2000-05-13,2000-08-26,12,19.0
3558,Jay-Z,Big Pimpin',235,2000-04-22,2000-07-08,12,18.0
3559,Kid Rock,Only God Knows Why,327,2000-02-19,2000-04-15,12,25.0
3560,Foo Fighters,Learn To Fly,235,1999-10-16,2000-01-22,12,22.0
3561,"Dixie Chicks, The",Goodbye Earl,259,2000-03-18,2000-05-06,12,88.0
3562,Guy,Dancin',248,1999-12-18,2000-01-01,12,
3563,Lil Bow Wow,Bounce With Me,202,2000-08-19,2000-09-16,12,36.0
3564,Westlife,Swear It Again,247,2000-04-01,2000-07-01,12,25.0
3565,Train,Meet Virginia,235,1999-10-09,2000-01-22,12,21.0
3566,"Thomas, Carl",I Wish,230,2000-03-25,2000-05-13,12,26.0
3567,Hanson,This Time Around,254,2000-04-22,2000-05-06,12,
3568,"Simpson, Jessica",I Think I'm In Love With You,212,2000-07-01,2000-08-12,12,38.0
3569,Ludacris,What's Your Fantasy,256,2000-09-30,2000-12-16,12,21.0
3570,Lil' Zane,Callin' Me,223,2000-07-29,2000-09-02,12,84.0
3571,M2M,Don't Say You Love Me,221,1999-11-20,2000-01-08,12,98.0
3572,SoulDecision,Faded,205,2000-07-08,2000-09-09,12,27.0
3573,"Brock, Chad",Yes!,202,2000-04-08,2000-07-01,12,27.0
3574,"Martin, Ricky",Shake Your Bon-Bon,188,1999-11-20,2000-02-12,12,28.0
3575,Vertical Horizon,You're A God,225,2000-08-26,2000-11-04,12,23.0
3576,Avant,Separated,253,2000-04-29,2000-05-20,12,28.0
3577,"Rimes, LeAnn",Big Deal,183,1999-10-16,2000-01-01,12,23.0
3578,IMx,Stay The Night,217,1999-10-09,2000-01-08,12,36.0
3579,Dr. Dre,The Next Episode,158,2000-05-27,2000-07-29,12,27.0
3580,"Spears, Britney",Lucky,203,2000-08-12,2000-09-09,12,
3581,Savage Garden,Crash And Burn,281,2000-04-08,2000-05-27,12,39.0
3582,Kandi,Don't Think I'm Not,230,2000-08-05,2000-10-07,12,26.0
3583,Sammie,I Like It,249,2000-01-29,2000-04-15,12,24.0
3584,Goo Goo Dolls,Broadway,234,2000-04-22,2000-07-01,12,33.0
3585,"Moore, Mandy",I Wanna Be With You,252,2000-06-17,2000-08-12,12,53.0
3586,Dr. Dre,Forgot About Dre,222,2000-01-22,2000-03-25,12,26.0
3587,D'Angelo,Untitled (How Does It Feel),430,2000-01-22,2000-02-19,12,44.0
3588,"Messina, Jo Dee",That's The Way,197,2000-06-24,2000-08-26,12,28.0
3589,Avant,My First Love,268,2000-11-04,2000-12-16,12,31.0
3590,Son By Four,A Puro Dolor (Purest Of Pain),210,2000-04-08,2000-08-19,12,48.0
3591,Da Brat,What'Chu Like,237,2000-06-03,2000-08-12,12,28.0
3592,DMX,Party Up (Up In Here),225,2000-02-26,2000-04-22,12,27.0
3593,"Dixie Chicks, The",Cowboy Take Me Away,291,1999-11-27,2000-01-29,12,27.0
3594,"McGraw, Tim",My Next Thirty Years,217,2000-10-21,2000-12-16,12,40.0
3595,"Tritt, Travis",Best Of Intentions,255,2000-08-19,2000-12-02,12,31.0
3596,Alice Deejay,Better Off Alone,410,2000-04-08,2000-06-03,12,37.0
3597,Hoku,Another Dumb Blonde,227,2000-02-19,2000-04-08,12,56.0
3598,"Houston, Whitney",I Learned From The Best,258,2000-02-19,2000-03-25,12,
3599,Counting Crows,Hanginaround,247,1999-11-06,2000-01-29,12,29.0
3600,Mary Mary,Shackles (Praise You),192,2000-03-25,2000-05-13,12,39.0
3601,"Carey, Mariah",Crybaby,319,2000-06-24,2000-06-24,12,
3602,"McGraw, Tim",My Best Friend,273,1999-11-27,2000-01-29,12,33.0
3603,Sugar Ray,Falls Apart,255,2000-01-15,2000-02-19,12,49.0
3604,Madonna,American Pie,270,2000-02-19,2000-03-04,12,
3605,"Jones, Donell",Where I Wanna Be,382,2000-04-22,2000-07-08,12,29.0
3606,"Paisley, Brad",We Danced,225,2000-10-14,2000-12-16,12,42.0
3607,Lonestar,What About Now,210,2000-06-10,2000-08-19,12,30.0
3608,"Backstreet Boys, The",The One,226,2000-05-27,2000-07-01,12,90.0
3609,"Keith, Toby",How Do You Like Me Now?!,209,2000-01-29,2000-04-08,12,31.0
3610,"Strait, George",The Best Day,204,2000-01-29,2000-04-22,12,33.0
3611,"Dixie Chicks, The",Without You,212,2000-10-07,2000-12-23,12,31.0
3612,Musiq,Just Friends (Sunny),242,2000-10-14,2000-12-30,12,31.0
3613,"McEntire, Reba",What Do You Say,206,1999-10-30,2000-01-29,12,43.0
3614,"Braxton, Toni",Just Be A Man About It,250,2000-07-29,2000-09-02,12,53.0
3615,"Iglesias, Enrique",Rhythm Divine,455,1999-12-04,2000-01-22,12,51.0
3616,"Fabian, Lara",I Will Love Again,223,2000-06-10,2000-08-12,12,45.0
3617,Bon Jovi,It's My Life,224,2000-08-12,2000-09-30,12,34.0
3618,"Evans, Sara",Born To Fly,336,2000-10-21,2000-12-30,12,46.0
3619,"Chesney, Kenny",I Lost It,234,2000-10-21,2000-12-23,12,45.0
3620,J-Shin,One Night Stand,274,1999-12-25,2000-02-26,12,45.0
3621,Eve,Love Is Blind,231,2000-01-08,2000-02-19,12,59.0
3622,Aaliyah,I Don't Wanna,255,2000-01-29,2000-03-04,12,37.0
3623,"Montgomery, John Michael",The Little Girl,232,2000-09-09,2000-10-28,12,42.0
3624,"Carter, Aaron",Aaron's Party (Come Get It),203,2000-08-26,2000-09-16,12,83.0
3625,"Vassar, Phil",Just Another Day In Paradise,234,2000-09-30,2000-12-02,12,41.0
3626,Ice Cube,You Can Do It,260,1999-12-04,2000-01-15,12,89.0
3627,"Wills, Mark",Back At One,240,2000-01-15,2000-02-26,12,52.0
3628,Lucy Pearl,Dance Tonight,225,2000-05-20,2000-07-29,12,43.0
3629,"Jackson, Alan",It Must Be Love,173,2000-06-24,2000-09-02,12,37.0
3630,"Griggs, Andy",She's More,199,2000-03-11,2000-06-10,12,43.0
3631,No Doubt,Simple Kind Of Life,251,2000-07-01,2000-07-22,12,100.0
3632,"Jean, Wyclef",911,240,2000-10-07,2000-11-25,12,49.0
3633,Rascal Flatts,Prayin' For Daylight,216,2000-05-06,2000-08-12,12,46.0
3634,Vitamin C,Graduation (Friends Forever),263,2000-04-15,2000-06-10,12,87.0
3635,"Gilman, Billy",One Voice,247,2000-06-17,2000-09-02,12,38.0
3636,Lonestar,Smile,213,1999-12-18,2000-02-12,12,41.0
3637,"Rogers, Kenny",Buy Me A Rose,226,2000-03-11,2000-05-06,12,54.0
3638,"Lawrence, Tracy",Lessons Learned,175,2000-01-29,2000-04-08,12,40.0
3639,"Strait, George",Go On,228,2000-08-26,2000-10-28,12,46.0
3640,Sisqo,Got To Get It,232,1999-11-20,2000-01-22,12,51.0
3641,Baha Men,Who Let The Dogs Out,197,2000-07-22,2000-10-21,12,53.0
3642,"Walker, Clay",The Chain Of Love,303,2000-04-15,2000-06-10,12,53.0
3643,"McBride, Martina",Love's The Only House,313,2000-02-05,2000-04-15,12,42.0
3644,Amber,Sexual (Li Da Di),278,1999-07-17,2000-02-12,12,
3645,"Tippin, Aaron",Kiss This,173,2000-08-26,2000-10-21,12,60.0
3646,SheDaisy,I Will.. But,220,2000-07-15,2000-09-16,12,43.0
3647,"Raye, Collin",Couldn't Last A Moment,220,2000-03-18,2000-06-24,12,46.0
3648,Black Rob,Whoa!,244,2000-03-04,2000-04-15,12,57.0
3649,"Jackson, Alan",Pop A Top,184,1999-11-13,2000-01-22,12,47.0
3650,"Black, Clint",Been There,328,2000-02-19,2000-04-15,12,55.0
3651,Common,The Light,235,2000-08-05,2000-09-09,12,56.0
3652,"Vassar, Phil",Carlene,247,2000-03-04,2000-04-22,12,56.0
3653,"Jackson, Alan",www.memory,156,2000-11-04,2000-12-23,12,67.0
3654,Vitamin C,The Itch,210,2000-12-02,2000-12-16,12,
3655,"Eastsidaz, The",G'D Up,267,2000-01-08,2000-02-12,12,82.0
3656,Ideal,Whatever,228,2000-06-10,2000-08-19,12,50.0
3657,"Thomas, Carl",Emotional,271,2000-11-25,2000-12-30,12,62.0
3658,Ginuwine,None Of Ur Friends Business,252,1999-12-11,2000-01-22,12,71.0
3659,"Davidson, Clay",Unconditional,236,2000-03-25,2000-06-17,12,50.0
3660,DMX,What You Want,245,2000-07-01,2000-09-23,12,55.0
3661,"John, Elton",Someday Out Of The Blue,281,2000-04-22,2000-05-06,12,89.0
3662,Pearl Jam,Nothing As It Seems,320,2000-05-13,2000-05-13,12,
3663,Mya,The Best Of Me,252,2000-04-15,2000-05-20,12,84.0
3664,"Heatherly, Eric",Flowers On The Wall,196,2000-04-29,2000-08-12,12,60.0
3665,Eminem,Stan,326,2000-11-04,2000-12-02,12,77.0
3666,"McEntire, Reba",I'll Be,263,2000-05-13,2000-07-29,12,51.0
3667,"Lopez, Jennifer",Feelin' Good,268,2000-02-19,2000-04-08,12,
3668,"Urban, Keith",Your Everything,250,2000-07-15,2000-09-16,12,66.0
3669,TLC,Dear Lie,276,2000-02-12,2000-03-04,12,
3670,"Gill, Vince",Feels Like Love,253,2000-09-02,2000-11-18,12,52.0
3671,"Houston, Whitney",Could I Have This Kiss Forever,234,2000-06-17,2000-08-05,12,70.0
3672,Bloodhound Gang,The Bad Touch,260,2000-03-18,2000-04-15,12,98.0
3673,"Williams, Robbie",Angels,236,1999-11-20,2000-01-22,12,83.0
3674,"Messina, Jo Dee",Because You Love Me,230,2000-01-29,2000-03-11,12,72.0
3675,"Keith, Toby",Country Comes To Town,219,2000-08-05,2000-10-14,12,62.0
3676,Beenie Man,Girls Dem Sugar,257,2000-10-21,2000-12-02,12,92.0
3677,"Hill, Faith",Let's Make Love,251,2000-08-12,2000-10-21,12,69.0
3678,Kelis,Caught Out There,249,1999-12-04,2000-01-08,12,90.0
3679,Jay-Z,Anything,221,2000-02-26,2000-03-11,12,
3680,3 Doors Down,Loser,264,2000-10-21,2000-12-02,12,59.0
3681,Brooks & Dunn,You'll Always Be Loved By Me,178,2000-06-10,2000-09-09,12,56.0
3682,"Chesney, Kenny",What I Need To Do,245,2000-04-01,2000-06-10,12,56.0
3683,"Stone, Angie",No More Rain (In This Cloud),282,1999-12-25,2000-01-22,12,73.0
3684,Da Brat,That's What I'm Looking For,224,2000-02-26,2000-04-15,12,72.0
3685,SheDaisy,This Woman Needs,200,2000-02-05,2000-03-04,12,
3686,Papa Roach,Last Resort,199,2000-07-29,2000-12-02,12,60.0
3687,"Adams, Yolanda",Open My Heart,330,2000-08-26,2000-10-21,12,68.0
3688,Shyne,Bad Boyz,262,2000-09-09,2000-10-28,12,81.0
3689,R.E.M.,The Great Beyond,250,1999-12-25,2000-01-29,12,63.0
3690,"Diffie, Joe",It's Always Somethin',175,2000-08-12,2000-09-16,12,92.0
3691,"McGraw, Tim",Some Things Never Change,236,2000-05-13,2000-07-01,12,59.0
3692,"Henley, Don",Taking You Home,248,2000-06-24,2000-08-05,12,71.0
3693,Eminem,The Way I Am,280,2000-08-26,2000-09-30,12,
3694,Nas,You Owe Me,231,2000-03-25,2000-04-15,12,82.0
3695,Sister Hazel,Change Your Mind,242,2000-07-15,2000-08-05,12,87.0
3696,Puff Daddy,Best Friend,333,2000-02-12,2000-02-19,12,
3697,"McBride, Martina",There You Are,206,2000-09-09,2000-10-21,12,82.0
3698,Usher,Pop Ya Collar,216,2000-11-04,2000-11-18,12,
3699,Lil' Kim,No Matter What They Say,252,2000-07-15,2000-08-05,12,
3700,LFO,I Don't Wanna Kiss You Goodnight,300,2000-04-15,2000-04-22,12,
3701,SheDaisy,Deck The Halls,226,1999-12-25,2000-01-01,12,
3702,Splender,I Think God Can Explain,235,2000-06-10,2000-06-24,12,100.0
3703,"Simpson, Jessica",Where You Are,231,2000-04-01,2000-04-15,12,
